ROWID,PM10,CO,NO2,TotalPop,Overall,RESP,CVD
1,133.3047405,1.634625954,98.0300687,400,58,12,46
2,158.7459485,1.941286765,145.3070882,540,47,16,31
3,48.18927273,0.430969697,17.5929697,12,6,0,6
4,133.9476769,1.622523077,108.5933231,256,25,0,25
5,108.5419474,1.412657895,75.3215,36,9,0,9
6,106.2171683,1.38249505,84.2549703,566,90,34,56
7,90.4721,0.55695,42.29475,16,5,0,5
8,143.3236037,2.160860681,138.6990743,1256,214,76,138
9,177.1202553,2.586787234,124.8674574,288,33,11,22
10,64.61644737,0.432078947,21.7515,70,7,0,7
11,74.95475,0.801,36.687,26,4,0,4
12,147.335,2.047906977,97.44981395,94,6,0,6
13,135.7712655,1.864668966,124.5244931,1156,178,63,115
14,165.488371,2.254032258,134.6778548,190,20,0,20
15,137.8914286,1.320196429,88.22373214,34,26,11,15
16,118.9624275,1.45951145,83.76874046,274,63,16,47
17,127.7476667,1.606375,96.77291667,48,7,0,7
18,149.0495079,2.097666667,106.2964524,250,42,19,23
19,35.22233333,0.229111111,8.073444444,2,9,0,9
20,149.1563714,2.1544,138.2030143,848,59,15,44
21,156.959,1.73016129,116.1444194,138,25,0,25
22,39.59390517,0.503017241,14.90978448,626,30,10,20
23,143.42475,1.36975,90.83975,80,13,0,13
24,165.2075188,2.799150725,183.1175565,1506,357,137,220
25,131.2131447,1.742868421,116.4753816,614,60,20,40
26,54.54041935,0.551548387,23.0416129,36,7,0,7
27,133.9104375,1.832734375,99.83053125,176,21,0,21
28,159.2015186,2.466311864,150.9245932,868,189,75,114
29,80.48444828,0.521862069,38.00951724,90,12,0,12
30,136.3717987,1.703474026,111.8272792,446,61,12,49
31,125.699449,1.690081633,95.9892449,140,21,0,21
32,96.11767021,1.221989362,62.88075532,362,36,12,24
33,144.617837,1.876881481,118.7344815,328,53,23,30
34,168.9506608,2.552471366,146.2337181,864,111,33,78
35,139.9960486,2.024256944,131.4378403,426,59,18,41
36,125.869,1.004,69.981625,24,4,0,4
37,137.6611765,1.716,77.75788235,52,2,0,2
38,142.8426609,2.196575107,146.1531116,500,90,25,65
39,170.368625,2.6106625,120.0182875,242,15,0,15
40,79.32171429,0.913844156,50.5641039,142,18,0,18
41,148.3744615,1.871634615,134.7681923,108,12,0,12
42,139.4657097,1.792225806,113.2780484,74,14,0,14
43,128.3359851,1.758776119,108.918,198,11,0,11
44,101.8258745,1.4261417,81.53095142,1074,134,41,93
45,130.5699767,1.687976744,115.9752884,438,99,30,69
46,129.7333693,1.6629375,99.11899432,350,93,24,69
47,148.5053707,2.029801724,114.2177414,992,148,35,113
48,168.6307982,2.504789238,139.1572108,392,104,44,60
49,141.4845373,1.769358209,123.1288657,114,27,12,15
50,155.1313,2.106471429,121.7254,216,32,11,21
51,167.0245108,2.402413978,168.1074892,286,74,20,54
52,92.42345,0.69925,48.3788,14,4,0,4
53,116.6891111,1.631592593,102.6499383,208,39,14,25
54,49.13627273,0.490848485,15.80130303,6,6,0,6
55,98.12790179,0.982071429,62.31713393,132,20,0,20
56,116.574375,1.599625,102.0661607,102,26,0,26
57,50.38209375,0.45059375,21.5611875,128,11,0,11
58,163.2113154,2.302258389,149.6835772,1324,238,78,160
59,161.4164396,2.379752747,140.057,5382,625,204,421
60,155.2942703,2.029702703,99.97417568,184,29,18,11
61,151.7721129,2.221629032,140.8233387,118,19,0,19
62,139.2380413,1.711636364,115.3527273,252,47,22,25
63,152.3623509,2.376646199,142.8329474,1568,299,125,174
64,142.9359494,1.663594937,88.27120253,188,15,0,15
65,162.5253402,2.325412371,156.8850206,300,25,0,25
66,126.1813267,1.619199203,96.80731474,1718,168,50,118
67,87.95673077,0.676115385,40.38369231,48,7,0,7
68,154.6306842,2.114163158,123.2825158,400,73,29,44
69,163.8966629,2.643426966,118.3256742,202,18,0,18
70,147.0140394,1.910221675,134.9912414,644,93,34,59
71,150.4859,2.232777778,153.5645222,218,22,0,22
72,60.18794118,0.535014706,25.35142647,132,23,10,13
73,25.54644444,0.212666667,4.524222222,4,2,0,2
74,32.31883333,0.3328,9.668566667,214,3,0,3
75,39.86640909,0.330318182,12.83972727,44,8,0,8
76,106.5209459,1.370486486,82.05048649,142,18,0,18
77,106.7821158,1.1882,71.10426316,168,39,10,29
78,160.7053148,2.669270195,128.609156,6304,569,222,347
79,66.798,0.6015,37.1066875,36,4,0,4
80,81.38709231,1.083246154,54.6296,66,19,0,19
81,128.6943797,1.775493671,115.74,300,18,0,18
82,164.3552748,2.473235127,136.0227989,3540,416,142,274
83,143.8723333,1.213722222,90.95116667,46,2,0,2
84,77.98935714,0.465428571,28.01921429,42,2,0,2
85,151.31725,1.79475,90.47855,36,8,0,8
86,136.6711243,1.884107345,115.0610198,1936,417,150,267
87,17.6315,0.0915,2.0555,56,1,0,1
88,81.25761628,0.865267442,41.97362791,142,15,0,15
89,87.96868263,1.042760479,56.7671976,450,64,22,42
90,155.5014192,2.802326027,170.5328219,4104,669,226,443
91,94.42535294,0.883,47.56782353,134,9,0,9
92,146.6690435,1.985608696,124.8471304,84,3,0,3
93,105.7504475,1.419176796,86.99876243,434,75,18,57
94,102.177702,1.096039735,60.80996689,454,70,19,51
95,129.7733704,0.891555556,64.8452963,44,6,0,6
96,136.0178718,1.421153846,89.89851282,244,14,0,14
97,138.6775265,1.7014,122.2983224,602,140,47,93
98,118.6226031,1.529077821,90.57375097,2068,148,49,99
99,147.3881858,1.914620553,130.3702095,1010,169,60,109
100,57.51269231,0.431307692,22.37992308,30,7,0,7
101,136.8621355,1.793167742,112.5555161,820,48,17,31
102,154.3309271,2.029833333,127.2860521,522,21,0,21
103,30.84564516,0.332419355,10.22993548,28,8,0,8
104,124.4412432,1.476959459,94.54658108,188,73,25,48
105,154.7618621,1.830310345,127.4217586,88,4,0,4
106,155.9025114,2.008488636,121.0857159,250,25,0,25
107,111.6008417,1.375640288,76.89379856,654,64,16,48
108,46.45422222,0.371111111,16.46911111,10,5,0,5
109,143.3088763,1.792979381,115.2846598,198,36,13,23
110,139.2058065,1.872612903,129.7953548,252,48,14,34
111,150.6994516,1.704806452,125.7657419,32,6,0,6
112,163.400092,2.486747126,132.7495249,1118,141,46,95
113,105.661837,1.117967391,71.96567391,176,37,10,27
114,104.2270789,1.274131579,71.03134211,6,10,0,10
115,110.8806435,1.523987915,89.18101208,2232,301,87,214
116,134.0366058,1.195144231,94.37647115,198,48,19,29
117,96.07894,1.21,66.42106,60,11,0,11
118,51.080125,0.352875,11.497125,10,4,0,4
119,103.3942,1.230911111,86.26131111,124,7,0,7
120,160.9588694,3.030366667,183.0648,2506,485,168,317
121,38.586,0.236,10.8175,10,0,0,0
122,92.858,0.971384615,53.38369231,34,5,0,5
123,141.7337619,2.25347619,107.794619,10,2,0,2
124,110.3924,0.958366667,59.5604,42,7,0,7
125,150.2124399,2.295284457,141.9768592,3280,377,106,271
126,145.9924493,1.66142029,105.0588116,108,18,0,18
127,173.0197867,2.614810427,169.2276303,604,109,26,83
128,112.682513,1.35953913,79.47844348,682,150,39,111
129,177.0458679,2.373886792,125.4133208,116,17,0,17
130,157.2556933,2.145703333,133.0395567,1724,178,52,126
131,36.81,0.199285714,11.70971429,10,2,0,2
132,146.7901882,1.960011765,130.8484824,206,24,0,24
133,121.3960323,1.62216129,95.08096774,54,6,0,6
134,44.71675362,0.391971014,16.01711594,116,32,15,17
135,158.5400923,2.071446154,129.1571692,144,16,0,16
136,151.6905,1.94912069,133.3296897,162,16,0,16
137,137.8144118,1.720117647,120.8479412,64,8,0,8
138,122.5508889,1.455166667,77.22883333,60,8,0,8
139,112.6858583,1.75882996,98.58663968,1430,134,46,88
140,128.8875833,1.416208333,96.491,22,4,0,4
141,137.0391282,1.456717949,101.5614359,56,29,12,17
142,145.7447674,1.855395349,133.1340465,120,12,0,12
143,132.8611429,1.522392857,87.98367857,48,7,0,7
144,152.983411,2.085068493,103.7099041,100,18,0,18
145,27.0038,0.2244,6.6626,10,2,0,2
146,127.4270051,1.725561224,101.897398,500,93,28,65
147,92.0516875,1.0321875,62.35752083,82,18,0,18
148,154.938507,2.129457746,123.2887254,302,49,14,35
149,100.6354259,1.297574074,77.38822222,54,13,0,13
150,141.3966071,1.874214286,120.25925,238,12,0,12
151,105.6766667,0.725,55.03333333,6,2,0,2
152,63.78176563,0.70375,31.781,54,30,11,19
153,134.3589,1.6509,79.85486667,60,6,0,6
154,52.76784783,0.508913043,23.36143478,36,14,0,14
155,56.58553846,0.380346154,19.90034615,12,12,0,12
156,166.3092712,2.94070411,173.6417644,8512,1063,277,786
157,25.084,0.246666667,6.974,2,0,0,0
158,142.6515217,1.687304348,84.97745652,74,10,0,10
159,151.1910286,1.962885714,109.5693429,120,8,0,8
160,136.4124417,1.774508333,111.4223417,438,56,15,41
161,157.3548381,2.118928571,122.9817143,448,116,41,75
162,165.3904545,2.332568182,117.3178182,146,10,0,10
163,147.2407857,2.351833333,111.601881,34,7,0,7
164,173.6930879,3.062527473,195.1496236,4864,820,308,512
165,22.55836364,0.200272727,4.446272727,10,5,0,5
166,126.4741673,1.739860558,105.5930996,650,132,49,83
167,54.10605556,0.462555556,20.70227778,2,3,0,3
168,164.087307,2.43022807,168.7428333,718,93,36,57
169,45.74571875,0.50946875,18.71465625,18,6,0,6
170,136.514375,1.821803571,115.6259821,176,17,0,17
171,160.3955,2.697754286,176.3100371,1662,382,143,239
172,125.7157949,1.80425641,95.35382051,82,10,0,10
173,127.2596222,1.625133333,122.3883333,52,13,0,13
174,153.8448065,2.269806452,152.9303548,42,6,0,6
175,50.05385246,0.59354918,22.46595902,642,45,17,28
176,137.8802453,2.004660377,119.7811321,60,13,0,13
177,125.181,1.550903846,92.84861538,68,16,0,16
178,165.7218537,2.326487805,155.877561,486,51,27,24
179,145.7454167,2.222916667,133.8765,48,2,0,2
180,144.543902,2.279529412,111.0801373,140,9,0,9
181,149.1785039,2.228573643,135.9983023,298,53,10,43
182,124.7143333,1.1168,57.46753333,6,6,0,6
183,149.2214851,1.960044776,111.1954104,344,57,18,39
184,77.17175912,0.996218978,46.55419708,344,57,15,42
185,146.4476071,1.897678571,137.0165714,54,6,0,6
186,74.677,0.8162,43.242475,52,10,0,10
187,145.9401111,1.498861111,97.01411111,52,6,0,6
188,69.10215789,0.372605263,23.06718421,116,15,0,15
189,152.3043229,2.34746875,149.8372257,934,191,60,131
190,76.65043077,0.968976923,47.14073846,232,58,22,36
191,136.5593463,2.173709141,136.0112493,4558,556,169,387
192,140.2428369,2.044618026,104.93103,812,123,44,79
193,168.4499776,2.376014925,163.5748507,204,55,16,39
194,145.6622312,2.05218018,141.5802853,1432,263,121,142
195,153.1519837,1.998739837,146.9416992,358,57,19,38
196,124.6506,1.340416667,82.21033333,126,20,0,20
197,158.6859468,2.264177305,117.658461,1264,199,69,130
198,87.44631429,0.941342857,54.16731429,84,9,0,9
199,88.23414935,1.058350649,51.8629026,814,80,25,55
200,91.37076,0.96626,55.90906,192,14,0,14
201,29.42007407,0.365148148,9.387111111,326,7,0,7
202,31.0175,0.296285714,8.550857143,26,4,0,4
203,142.759,1.815597826,88.68243478,306,42,14,28
204,46.73986667,0.420066667,17.70106667,4,5,0,5
205,130.2848727,1.506781818,101.1848364,60,15,0,15
206,113.8879706,1.007470588,69.47055882,56,3,0,3
207,105.7594,1.093333333,66.88503333,102,8,0,8
208,123.8834545,1.203454545,90.31727273,32,2,0,2
209,144.7056522,1.774478261,118.5422609,30,7,0,7
210,126.991,1.393240741,95.52444444,74,16,0,16
211,123.6783625,1.45265,93.9162375,94,32,13,19
212,41.4912,0.403,11.2114,2,0,0,0
213,150.3035763,1.608101695,86.21849153,72,10,0,10
214,155.1058158,2.341760234,158.0635643,1752,279,110,169
215,172.1031643,2.185314286,108.5123143,302,64,21,43
216,130.0562895,1.618807018,108.28,330,49,15,34
217,145.9275357,2.000342857,122.0247714,1414,169,44,125
218,147.479,1.66891954,111.9781379,202,37,10,27
219,145.6726758,2.370766484,147.9710879,3544,684,225,459
220,146.6725,1.838324324,119.0669257,182,60,19,41
221,122.4888617,1.315265957,82.44206383,184,40,14,26
222,136.9192289,1.725518072,121.8659157,106,37,12,25
223,154.3640357,2.118151786,126.4006696,346,42,0,42
224,37.48010714,0.293642857,10.23278571,44,8,0,8
225,153.1720805,2.23808046,121.0924598,278,22,0,22
226,84.76021429,0.525928571,35.57792857,6,2,0,2
227,45.43702941,0.406852941,15.16294118,60,10,0,10
228,130.5063904,1.859150685,120.4270616,272,43,0,43
229,90.66674797,1.022626016,56.99760163,374,50,20,30
230,84.80686111,0.807722222,46.34277778,46,11,0,11
231,144.0204103,1.819717949,112.7602821,172,32,11,21
232,55.12593548,0.677935484,27.68206452,128,6,0,6
233,160.1282,1.8407,133.667,62,4,0,4
234,41.3305,0.207,13.8225,10,0,0,0
235,148.3616727,1.967072727,126.6471273,204,11,0,11
236,154.1337086,2.044125714,126.6109886,686,65,21,44
237,137.7340686,1.798794286,108.66376,222,67,24,43
238,131.6043333,1.3375,78.47733333,24,2,0,2
239,84.13758333,0.704333333,47.89041667,36,4,0,4
240,137.3827571,1.749114286,113.187,280,104,45,59
241,143.9424762,1.936,130.7208571,180,36,11,25
242,111.1081389,1.468791667,89.84426389,158,34,12,22
243,144.7598819,1.78096063,123.3088346,182,49,23,26
244,136.9516204,1.881046296,111.5678889,374,55,19,36
245,119.8773704,1.102407407,80.41168519,184,16,0,16
246,146.1470163,2.118894309,124.9537642,496,56,16,40
247,121.9144242,1.280878788,92.45681818,64,5,0,5
248,144.5629111,1.946451852,118.9784407,728,150,63,87
249,165.7825988,2.623884498,150.4966778,1338,276,87,189
250,106.73888,1.4081,88.66476,98,15,0,15
251,119.1189444,1.219388889,93.02094444,8,3,0,3
252,140.2563866,1.858495798,96.69188235,312,30,0,30
253,147.5959079,1.593868421,97.68369737,148,26,10,16
254,131.9648308,1.974884615,126.5849462,170,66,22,44
255,134.2144734,1.688893617,117.355883,716,69,22,47
256,127.3824134,1.659776536,112.6690335,760,69,24,45
257,168.989636,2.672893993,145.236477,1658,205,72,133
258,18.943,0.2385,4.90925,26,1,0,1
259,31.89877778,0.325333333,9.704955556,170,9,0,9
260,146.0004141,1.9511875,140.3196875,276,47,23,24
261,153.8002051,1.535153846,103.4129744,78,20,0,20
262,149.3819697,1.565151515,85.59390909,222,27,12,15
263,22.73317073,0.242512195,5.297536585,200,10,0,10
264,145.0999286,1.811285714,126.908,42,1,0,1
265,168.4044132,3.084749311,167.3157163,4166,704,227,477
266,104.1559241,1.356202532,81.65250633,124,30,10,20
267,99.01476563,1.327484375,67.38396875,192,19,0,19
268,135.683,1.60965,105.72865,8,5,0,5
269,157.2467749,2.133486911,132.1632408,604,84,22,62
270,94.13853306,1.346438017,71.1365124,1162,112,25,87
271,117.4123429,1.075885714,80.66288571,100,3,0,3
272,168.0595383,3.460005464,196.4313087,220152,16859,5468,11391
273,158.847547,2.440717949,127.7214103,218,50,11,39
274,125.7137813,1.82396875,107.0876563,26,9,0,9
275,103.3968061,1.482607143,79.73964796,592,81,20,61
276,132.0874228,1.677912752,111.932255,366,26,0,26
277,91.7195,0.399375,31.619625,4,4,0,4
