osmID,NeighbNum,NeighbNam,Year,Month,LIRAa,Total,InfestedNum,Temperature,Precipitation,NDVI,Urbanisation,Expected
4601806,1,Jardim Paulistano,2017,January,1,2337,276,28.501,19.666,1.941,0.961,98
4601798,2,Estação Velha,2017,January,1,974,66,28.501,19.666,2.028,0.963,41
4601815,3,Liberdade,2017,January,1,5031,433,28.501,19.666,2.064,0.984,211
4601837,4,Presidente Médici,2017,January,1,1250,134,28.844,17.445,2.693,0.993,52
4601841,5,Sandra Cavalcante,2017,January,1,1871,101,28.99,21.248,2.154,0.924,78
4601822,6,Monte Santo,2017,January,1,2297,108,28.501,19.666,2.367,0.802,96
4601843,7,Santa Rosa,2017,January,1,3067,230,28.501,19.666,2.033,0.904,128
4601794,8,Cruzeiro,2017,January,1,3885,458,28.501,19.666,1.881,0.921,163
4601802,9,Itararé,2017,January,1,911,49,28.844,17.445,2.221,0.884,38
4601803,10,Jardim Continental,2017,January,1,615,29,28.057,21.964,2.877,0.326,26
4601816,11,Louzeiro,2017,January,1,380,26,28.057,21.964,3.022,0.191,16
4601852,12,São José,2017,January,1,1291,111,28.501,19.666,2.076,0.989,54
4601834,13,Pedregal,2017,January,1,2335,79,28.501,19.666,2.579,0.956,98
4601792,14,Conceição,2017,January,1,1092,51,28.501,19.666,2.334,0.983,46
4601839,15,Ramadinha,2017,January,1,600,45,28.672,19.165,2.355,0.898,25
4601810,16,Jeremias,2017,January,1,3495,238,28.057,21.964,2.457,0.66,146
4601833,17,Palmeira,2017,January,1,1681,114,28.501,19.666,2.433,0.865,70
4601858,18,Vila Cabral,2017,January,1,1347,73,28.99,21.248,2.655,0.573,56
4601842,19,Santa Cruz,2017,January,1,2933,314,28.501,19.666,2.151,1,123
4601796,20,Dinamérica,2017,January,1,2153,161,28.501,19.666,2.444,0.738,90
4601819,21,Mirante,2017,January,1,484,48,28.99,21.248,2.085,0.925,20
4601811,22,José Pinheiro,2017,January,1,4629,463,28.99,21.248,2.003,0.999,194
4601783,23,Castelo Branco,2017,January,1,778,64,28.99,21.248,3.378,0.561,33
4601846,24,Santo Antônio,2017,January,1,1159,116,28.99,21.248,2.374,1,49
4601821,25,Monte Castelo,2017,January,1,2476,248,28.99,21.248,2.327,0.654,104
4601830,26,Novo Bodocongó,2017,January,1,392,47,28.161,20.91,3.478,0.098,16
4601787,27,Centro,2017,January,1,2825,88,28.501,19.666,1.856,0.962,118
4601795,28,Cuités,2017,January,1,531,25,28.057,21.964,3.488,0.119,22
4601786,29,Centenário,2017,January,1,2409,82,28.501,19.666,1.933,0.998,101
4601775,30,Bela Vista,2017,January,1,1850,63,28.501,19.666,2.378,0.936,77
4601836,31,Prata,2017,January,1,1146,36,28.501,19.666,2.463,1,48
4601784,32,Catolé,2017,January,1,6446,438,28.501,19.666,2.088,0.988,270
4601854,33,Tambor,2017,January,1,1818,98,28.501,19.666,2.362,0.954,76
4601857,34,Velame,2017,January,1,2374,69,28.844,17.445,2.947,0.408,99
4601817,35,Malvinas,2017,January,1,10539,1296,28.672,19.165,2.627,0.453,441
4601856,36,Universitário,2017,January,1,1007,34,28.501,19.666,3.607,0.562,42
4601827,37,Nova Brasília,2017,January,1,2506,205,28.99,21.248,2.816,0.856,105
4601809,38,Jardim Tavares,2017,January,1,986,81,28.446,22.47,2.731,0.538,41
4601826,39,Nações,2017,January,1,376,31,28.057,21.964,3.877,0.417,16
4601813,40,Lauritzen,2017,January,1,827,68,28.501,19.666,2.305,1,35
4601771,41,Alto Branco,2017,January,1,2473,203,28.057,21.964,2.471,0.854,104
4601848,42,Serrotão,2017,January,1,1684,204,28.672,19.165,3.476,0.164,71
4601781,43,Bodocongó,2017,January,1,3938,476,28.672,19.165,2.8,0.823,165
4601855,44,Três Irmãs,2017,January,1,3535,191,28.991,15.867,2.607,0.224,148
4601770,45,Acácio Figueiredo,2017,January,1,2657,77,28.991,15.867,3.162,0.481,111
4601791,46,Cidades,2017,January,1,1662,48,28.991,15.867,3.776,0.241,70
4601807,47,Quarenta,2017,January,1,2273,243,28.501,19.666,1.989,0.987,95
