osmID,NeighbNum,NeighbNam,Year,Month,LIRAa,Total,InfestedNum,Temperature,Precipitation,NDVI,Urbanisation,Expected
4601806,1,Jardim Paulistano,2017,April,2,2337,248,28.266,109.154,2.415,0.961,98
4601798,2,Estação Velha,2017,April,2,974,51,28.266,109.154,2.434,0.963,41
4601815,3,Liberdade,2017,April,2,5031,413,28.266,109.154,2.233,0.984,211
4601837,4,Presidente Médici,2017,April,2,1250,48,28.423,103.561,1.466,0.993,52
4601841,5,Sandra Cavalcante,2017,April,2,1871,80,28.467,112.042,2.413,0.924,78
4601822,6,Monte Santo,2017,April,2,2297,74,28.266,109.154,2.632,0.802,96
4601843,7,Santa Rosa,2017,April,2,3067,107,28.266,109.154,2.53,0.904,128
4601794,8,Cruzeiro,2017,April,2,3885,412,28.266,109.154,2.309,0.921,163
4601802,9,Itararé,2017,April,2,911,39,28.423,103.561,2.382,0.884,38
4601803,10,Jardim Continental,2017,April,2,615,20,27.601,111.988,4.609,0.326,26
4601816,11,Louzeiro,2017,April,2,380,25,27.601,111.988,4.023,0.191,16
4601852,12,São José,2017,April,2,1291,106,28.266,109.154,2.229,0.989,54
4601834,13,Pedregal,2017,April,2,2335,89,28.266,109.154,2.373,0.956,98
4601792,14,Conceição,2017,April,2,1092,35,28.266,109.154,2.821,0.983,46
4601839,15,Ramadinha,2017,April,2,600,21,28.222,105.378,1.895,0.898,25
4601810,16,Jeremias,2017,April,2,3495,234,27.601,111.988,3.326,0.66,146
4601833,17,Palmeira,2017,April,2,1681,113,28.266,109.154,2.594,0.865,70
4601858,18,Vila Cabral,2017,April,2,1347,58,28.467,112.042,3.297,0.573,56
4601842,19,Santa Cruz,2017,April,2,2933,111,28.266,109.154,1.968,1,123
4601796,20,Dinamérica,2017,April,2,2153,75,28.266,109.154,2.547,0.738,90
4601819,21,Mirante,2017,April,2,484,29,28.467,112.042,2.814,0.925,20
4601811,22,José Pinheiro,2017,April,2,4629,278,28.467,112.042,3.058,0.999,194
4601783,23,Castelo Branco,2017,April,2,778,31,28.467,112.042,4.594,0.561,33
4601846,24,Santo Antônio,2017,April,2,1159,70,28.467,112.042,3.157,1,49
4601821,25,Monte Castelo,2017,April,2,2476,149,28.467,112.042,3.349,0.654,104
4601830,26,Novo Bodocongó,2017,April,2,392,31,27.604,109.042,4.25,0.098,16
4601787,27,Centro,2017,April,2,2825,20,28.266,109.154,2.512,0.962,118
4601795,28,Cuités,2017,April,2,531,17,27.601,111.988,4.417,0.119,22
4601786,29,Centenário,2017,April,2,2409,92,28.266,109.154,2.404,0.998,101
4601775,30,Bela Vista,2017,April,2,1850,70,28.266,109.154,2.578,0.936,77
4601836,31,Prata,2017,April,2,1146,8,28.266,109.154,2.197,1,48
4601784,32,Catolé,2017,April,2,6446,335,28.266,109.154,2.59,0.988,270
4601854,33,Tambor,2017,April,2,1818,78,28.266,109.154,2.355,0.954,76
4601857,34,Velame,2017,April,2,2374,119,28.423,103.561,3.209,0.408,99
4601817,35,Malvinas,2017,April,2,10539,674,28.222,105.378,2.745,0.453,441
4601856,36,Universitário,2017,April,2,1007,38,28.266,109.154,3.225,0.562,42
4601827,37,Nova Brasília,2017,April,2,2506,100,28.467,112.042,3.601,0.856,105
4601809,38,Jardim Tavares,2017,April,2,986,39,27.955,113.159,3.353,0.538,41
4601826,39,Nações,2017,April,2,376,15,27.601,111.988,4.723,0.417,16
4601813,40,Lauritzen,2017,April,2,827,33,28.266,109.154,2.199,1,35
4601771,41,Alto Branco,2017,April,2,2473,99,27.601,111.988,2.823,0.854,104
4601848,42,Serrotão,2017,April,2,1684,133,28.222,105.378,4.276,0.164,71
4601781,43,Bodocongó,2017,April,2,3938,311,28.222,105.378,2.499,0.823,165
4601855,44,Três Irmãs,2017,April,2,3535,49,28.506,99.842,3.062,0.224,148
4601770,45,Acácio Figueiredo,2017,April,2,2657,133,28.506,99.842,3.434,0.481,111
4601791,46,Cidades,2017,April,2,1662,83,28.506,99.842,4.085,0.241,70
4601807,47,Quarenta,2017,April,2,2273,86,28.266,109.154,2.5,0.987,95
