OBJECTID,LAD21CD,LAD21NM,year,population,casualties,expectednum,i,t
6,E06000006,Halton,2015,126719,181,182,1,1
6,E06000006,Halton,2016,127306,174,183,1,2
6,E06000006,Halton,2017,127595,170,184,1,3
6,E06000006,Halton,2018,128432,119,185,1,4
6,E06000006,Halton,2019,129410,151,186,1,5
6,E06000006,Halton,2020,129759,87,187,1,6
7,E06000007,Warrington,2015,207781,411,299,2,1
7,E06000007,Warrington,2016,208973,351,301,2,2
7,E06000007,Warrington,2017,209704,335,302,2,3
7,E06000007,Warrington,2018,209547,350,302,2,4
7,E06000007,Warrington,2019,210014,244,302,2,5
7,E06000007,Warrington,2020,209397,173,301,2,6
8,E06000008,Blackburn with Darwen,2015,147856,329,213,3,1
8,E06000008,Blackburn with Darwen,2016,148462,316,214,3,2
8,E06000008,Blackburn with Darwen,2017,148772,351,214,3,3
8,E06000008,Blackburn with Darwen,2018,148942,328,214,3,4
8,E06000008,Blackburn with Darwen,2019,149696,288,215,3,5
8,E06000008,Blackburn with Darwen,2020,150030,241,216,3,6
9,E06000009,Blackpool,2015,140162,283,202,4,1
9,E06000009,Blackpool,2016,139983,302,201,4,2
9,E06000009,Blackpool,2017,139870,283,201,4,3
9,E06000009,Blackpool,2018,139305,243,200,4,4
9,E06000009,Blackpool,2019,139446,215,201,4,5
9,E06000009,Blackpool,2020,138381,184,199,4,6
45,E06000047,County Durham,2015,519347,803,747,5,1
45,E06000047,County Durham,2016,521776,765,751,5,2
45,E06000047,County Durham,2017,523662,831,753,5,3
45,E06000047,County Durham,2018,526980,693,758,5,4
45,E06000047,County Durham,2019,530094,600,763,5,5
45,E06000047,County Durham,2020,533149,404,767,5,6
46,E06000049,Cheshire East,2015,375722,693,541,6,1
46,E06000049,Cheshire East,2016,377303,648,543,6,2
46,E06000049,Cheshire East,2017,378846,573,545,6,3
46,E06000049,Cheshire East,2018,380790,563,548,6,4
46,E06000049,Cheshire East,2019,384152,404,553,6,5
46,E06000049,Cheshire East,2020,386667,349,556,6,6
47,E06000050,Cheshire West and Chester,2015,333949,676,481,7,1
47,E06000050,Cheshire West and Chester,2016,335724,663,483,7,2
47,E06000050,Cheshire West and Chester,2017,337986,569,486,7,3
47,E06000050,Cheshire West and Chester,2018,340502,541,490,7,4
47,E06000050,Cheshire West and Chester,2019,343071,482,494,7,5
47,E06000050,Cheshire West and Chester,2020,343823,311,495,7,6
48,E06000051,Shropshire,2015,312227,501,449,8,1
48,E06000051,Shropshire,2016,314392,618,452,8,2
48,E06000051,Shropshire,2017,317459,495,457,8,3
48,E06000051,Shropshire,2018,320274,425,461,8,4
48,E06000051,Shropshire,2019,323136,440,465,8,5
48,E06000051,Shropshire,2020,325415,295,468,8,6
54,E06000057,Northumberland,2015,316453,94,455,9,1
54,E06000057,Northumberland,2016,317444,79,457,9,2
54,E06000057,Northumberland,2017,319030,97,459,9,3
54,E06000057,Northumberland,2018,320274,84,461,9,4
54,E06000057,Northumberland,2019,322434,61,464,9,5
54,E06000057,Northumberland,2020,323820,50,466,9,6
65,E07000026,Allerdale,2015,96756,222,139,10,1
65,E07000026,Allerdale,2016,97099,240,140,10,2
65,E07000026,Allerdale,2017,97213,222,140,10,3
65,E07000026,Allerdale,2018,97527,215,140,10,4
65,E07000026,Allerdale,2019,97761,181,141,10,5
65,E07000026,Allerdale,2020,97831,111,141,10,6
66,E07000027,Barrow-in-Furness,2015,67676,94,97,11,1
66,E07000027,Barrow-in-Furness,2016,67532,79,97,11,2
66,E07000027,Barrow-in-Furness,2017,67099,97,97,11,3
66,E07000027,Barrow-in-Furness,2018,67137,84,97,11,4
66,E07000027,Barrow-in-Furness,2019,67049,61,96,11,5
66,E07000027,Barrow-in-Furness,2020,66726,50,96,11,6
67,E07000028,Carlisle,2015,108109,221,156,12,1
67,E07000028,Carlisle,2016,108388,176,156,12,2
67,E07000028,Carlisle,2017,108274,208,156,12,3
67,E07000028,Carlisle,2018,108387,209,156,12,4
67,E07000028,Carlisle,2019,108678,174,156,12,5
67,E07000028,Carlisle,2020,108524,104,156,12,6
68,E07000029,Copeland,2015,69688,162,100,13,1
68,E07000029,Copeland,2016,69306,168,100,13,2
68,E07000029,Copeland,2017,68689,157,99,13,3
68,E07000029,Copeland,2018,68424,145,98,13,4
68,E07000029,Copeland,2019,68183,116,98,13,5
68,E07000029,Copeland,2020,68041,78,98,13,6
69,E07000030,Eden,2015,52576,184,76,14,1
69,E07000030,Eden,2016,52642,170,76,14,2
69,E07000030,Eden,2017,52779,175,76,14,3
69,E07000030,Eden,2018,52881,183,76,14,4
69,E07000030,Eden,2019,53253,79,77,14,5
69,E07000030,Eden,2020,53754,69,77,14,6
70,E07000031,South Lakeland,2015,103776,244,149,15,1
70,E07000031,South Lakeland,2016,103826,230,149,15,2
70,E07000031,South Lakeland,2017,104321,274,150,15,3
70,E07000031,South Lakeland,2018,104532,186,150,15,4
70,E07000031,South Lakeland,2019,105088,217,151,15,5
70,E07000031,South Lakeland,2020,104905,131,151,15,6
76,E07000037,High Peak,2015,91523,159,132,16,1
76,E07000037,High Peak,2016,91720,137,132,16,2
76,E07000037,High Peak,2017,92063,72,132,16,3
76,E07000037,High Peak,2018,92221,115,133,16,4
76,E07000037,High Peak,2019,92666,86,133,16,5
76,E07000037,High Peak,2020,92633,76,133,16,6
139,E07000117,Burnley,2015,87262,182,126,17,1
139,E07000117,Burnley,2016,87496,144,126,17,2
139,E07000117,Burnley,2017,87705,152,126,17,3
139,E07000117,Burnley,2018,88527,145,127,17,4
139,E07000117,Burnley,2019,88920,179,128,17,5
139,E07000117,Burnley,2020,89344,98,129,17,6
140,E07000118,Chorley,2015,112963,267,163,18,1
140,E07000118,Chorley,2016,114266,267,164,18,2
140,E07000118,Chorley,2017,115772,218,167,18,3
140,E07000118,Chorley,2018,116821,226,168,18,4
140,E07000118,Chorley,2019,118216,221,170,18,5
140,E07000118,Chorley,2020,118870,189,171,18,6
141,E07000119,Fylde,2015,77490,228,111,19,1
141,E07000119,Fylde,2016,78153,208,112,19,2
141,E07000119,Fylde,2017,78863,221,113,19,3
141,E07000119,Fylde,2018,79770,184,115,19,4
141,E07000119,Fylde,2019,80780,164,116,19,5
141,E07000119,Fylde,2020,81211,109,117,19,6
142,E07000120,Hyndburn,2015,80113,182,115,20,1
142,E07000120,Hyndburn,2016,80392,170,116,20,2
142,E07000120,Hyndburn,2017,80410,129,116,20,3
142,E07000120,Hyndburn,2018,80815,168,116,20,4
142,E07000120,Hyndburn,2019,81043,140,117,20,5
142,E07000120,Hyndburn,2020,81133,148,117,20,6
143,E07000121,Lancaster,2015,140787,358,203,21,1
143,E07000121,Lancaster,2016,141723,327,204,21,2
143,E07000121,Lancaster,2017,142487,293,205,21,3
143,E07000121,Lancaster,2018,144246,299,208,21,4
143,E07000121,Lancaster,2019,146038,238,210,21,5
143,E07000121,Lancaster,2020,148119,152,213,21,6
144,E07000122,Pendle,2015,89925,160,129,22,1
144,E07000122,Pendle,2016,90515,132,130,22,2
144,E07000122,Pendle,2017,90696,118,131,22,3
144,E07000122,Pendle,2018,91405,179,132,22,4
144,E07000122,Pendle,2019,92112,115,133,22,5
144,E07000122,Pendle,2020,92145,132,133,22,6
145,E07000123,Preston,2015,140685,331,202,23,1
145,E07000123,Preston,2016,141023,314,203,23,2
145,E07000123,Preston,2017,141346,303,203,23,3
145,E07000123,Preston,2018,141818,337,204,23,4
145,E07000123,Preston,2019,143135,316,206,23,5
145,E07000123,Preston,2020,144147,231,207,23,6
146,E07000124,Ribble Valley,2015,58519,103,84,24,1
146,E07000124,Ribble Valley,2016,58864,86,85,24,2
146,E07000124,Ribble Valley,2017,59504,93,86,24,3
146,E07000124,Ribble Valley,2018,60057,73,86,24,4
146,E07000124,Ribble Valley,2019,60888,99,88,24,5
146,E07000124,Ribble Valley,2020,62026,77,89,24,6
147,E07000125,Rossendale,2015,69418,131,100,25,1
147,E07000125,Rossendale,2016,69787,111,100,25,2
147,E07000125,Rossendale,2017,70365,87,101,25,3
