"HouseID","BurglaryStatus","Gate","Garage","Outdoor_sitting","Security_lights"
"H1",1,1,0,0,0
"H2",1,0,0,0,0
"H3",1,0,0,0,0
"H4",1,0,0,0,0
"H5",1,0,0,0,1
"H6",1,0,0,0,0
"H7",1,1,0,0,0
"H8",1,0,0,0,0
"H9",1,1,0,0,1
"H10",1,0,0,0,1
"H11",1,1,0,1,1
"H12",1,0,0,0,0
"H13",1,1,0,0,0
"H14",1,0,0,0,1
"H15",1,1,0,0,1
"H16",1,0,0,0,0
"H17",1,0,0,0,0
"H18",1,0,0,0,0
"H19",1,0,1,0,0
"H20",1,1,0,0,0
"H21",1,0,0,1,0
"H22",1,1,0,0,1
"H23",1,0,0,0,0
"H24",1,0,0,0,0
"H25",1,0,1,0,1
"H26",1,0,0,0,0
"H27",1,1,0,0,1
"H28",1,1,0,0,0
"H29",1,1,0,0,1
"H30",1,1,0,0,0
"H31",1,0,0,1,0
"H32",1,1,0,0,1
"H33",1,1,0,0,1
"H34",1,0,0,1,1
"H35",1,1,0,1,0
"H36",1,0,0,1,0
"H37",1,0,0,1,1
"H38",1,1,0,1,1
"H39",1,1,0,1,0
"H40",1,1,0,1,0
"H41",1,0,1,0,1
"H42",1,1,0,0,0
"H43",1,0,0,0,1
"H44",1,0,0,0,0
"H45",1,1,0,0,1
"H46",1,1,0,0,0
"H47",1,0,0,0,1
"H48",1,0,0,0,1
"H49",1,1,0,0,0
"H50",1,1,0,0,0
"H51",1,1,0,0,1
"H52",1,0,0,0,1
"H53",1,1,0,1,1
"H54",1,1,0,0,0
"H55",1,1,0,0,0
"H56",1,0,0,0,0
"H57",1,1,0,0,1
"H58",1,1,0,0,1
"H59",1,0,0,1,1
"H60",1,1,0,1,0
"H61",1,1,0,0,1
"H62",1,1,0,0,1
"H63",1,1,0,0,1
"H64",1,1,0,1,0
"H65",1,1,0,0,1
"H66",1,1,0,0,0
"H67",1,1,0,0,1
"H68",1,0,0,1,0
"H69",1,1,1,0,1
"H70",1,1,1,1,1
"H71",1,1,0,1,0
"H72",1,0,0,0,0
"H73",1,1,0,0,1
"H74",1,1,0,0,1
"H75",1,0,0,0,0
"H76",1,1,0,0,1
"H77",1,0,0,0,0
"H78",1,0,0,0,0
"H79",1,1,1,0,1
"H80",1,0,0,0,1
"H81",1,0,0,0,0
"H82",1,0,0,0,0
"H83",1,0,0,0,0
"H84",1,1,0,0,0
"H85",1,0,0,0,1
"H86",1,0,0,1,0
"H87",1,1,0,0,0
"H88",1,1,0,0,0
"H89",1,1,0,0,0
"H90",1,1,0,0,1
"H91",1,1,0,0,1
"H92",1,0,0,0,0
"H93",1,0,0,0,0
"H94",1,1,0,0,0
"H95",1,1,0,0,0
"H96",1,1,0,0,0
"H97",1,1,0,0,0
"H98",1,1,0,0,1
"H99",1,0,0,0,1
"H100",1,1,0,0,0
"H101",1,1,0,0,0
"H102",1,1,0,0,0
"H103",1,1,0,0,0
"H104",1,1,0,0,1
"H105",1,1,0,0,1
"H106",1,1,0,0,1
"H107",1,1,0,1,1
"H108",1,1,0,1,1
"H109",1,1,0,0,0
"H110",1,0,0,1,0
"H111",1,1,0,0,1
"H112",1,1,0,1,1
"H113",1,0,0,1,0
"H114",1,1,0,1,0
"H115",1,1,0,0,1
"H116",1,1,0,0,1
"H117",1,1,0,0,1
"H118",1,1,0,0,1
"H119",1,1,0,0,0
"H120",1,1,0,0,1
"H121",1,1,0,0,0
"H122",1,1,0,0,1
"H123",1,1,0,0,1
"H124",1,1,0,0,1
"H125",1,0,0,0,1
"H126",1,0,0,0,1
"H127",1,0,0,1,0
"H128",1,1,0,0,1
"H129",1,0,0,1,0
"H130",1,1,0,1,1
"H131",1,1,0,1,1
"H132",1,0,0,1,0
"H133",1,1,0,1,0
"H134",1,0,0,1,1
"H135",1,0,0,0,0
"H136",1,0,0,0,0
"H137",1,0,0,0,0
"H138",1,0,0,0,1
"H139",1,0,0,0,0
"H140",1,1,0,1,1
"H141",1,0,0,0,1
"H142",1,0,0,0,1
"H143",1,0,0,1,1
"H144",1,1,1,0,0
"H145",1,0,0,1,1
"H146",1,0,0,1,0
"H147",1,1,0,0,1
"H148",1,1,1,0,1
"H149",1,1,0,0,0
"H150",1,0,0,0,0
"H151",1,0,0,0,1
"H152",1,1,0,0,0
"H153",1,1,0,1,1
"H154",1,1,1,1,1
"H155",1,0,0,0,0
"H156",1,0,0,1,0
"H157",1,1,0,1,0
"H158",1,1,0,1,0
"H159",1,1,0,0,1
"H160",1,0,0,1,1
"H161",1,1,0,1,0
"H162",1,0,0,0,0
"H163",1,1,0,0,0
"H164",1,0,0,0,0
"H165",1,0,0,0,0
"H166",1,0,0,0,0
"H167",1,0,0,0,0
"H168",1,0,0,1,0
"H169",1,0,0,0,1
"H170",1,0,0,0,1
"H171",1,0,0,0,0
"H172",1,0,0,1,0
"H173",1,0,0,1,0
"H174",1,1,0,0,1
"H175",1,0,0,0,1
"H176",1,0,0,0,0
"H177",1,0,0,0,1
"H178",1,0,0,0,0
"H179",1,1,0,0,1
"H180",1,1,0,0,1
"H181",1,0,0,0,0
"H182",1,1,0,0,1
"H183",1,0,0,1,0
"H184",1,0,0,1,0
"H185",1,0,0,1,0
"H186",1,0,0,1,0
"H187",1,0,0,1,0
"H188",1,1,0,1,0
"H189",1,0,0,0,0
"H190",1,0,0,0,0
"H191",1,1,0,0,1
"H192",1,0,0,0,0
"H193",1,1,1,0,1
"H194",1,0,0,0,0
"H195",1,1,0,0,0
"H196",1,0,0,0,1
"H197",1,1,0,0,0
"H198",1,0,0,0,0
"H199",1,1,0,0,0
"H200",1,1,0,0,1
"H201",1,1,0,0,1
"H202",1,1,0,0,0
"H203",1,1,0,0,1
"H204",1,1,0,0,1
"H205",1,1,0,1,1
"H206",1,0,0,0,0
"H207",1,0,0,0,0
"H208",1,1,0,0,0
"H209",1,1,0,0,0
"H210",1,1,0,0,0
"H211",1,1,0,0,0
"H212",1,1,0,0,0
"H213",1,1,0,0,0
"H214",1,1,0,0,0
"H215",1,1,0,0,1
"H216",1,0,0,0,0
"H217",1,1,0,0,1
"H218",1,1,0,0,0
"H219",1,1,0,1,1
"H220",1,1,0,0,1
"H221",1,1,0,0,1
"H222",1,1,0,0,0
"H223",1,1,0,0,0
"H224",1,1,0,0,1
"H225",1,1,0,0,1
"H226",1,1,0,0,1
"H227",1,1,0,0,1
"H228",1,1,0,0,1
"H229",1,1,0,0,1
"H230",1,1,0,0,1
"H231",1,1,0,0,1
"H232",1,1,0,0,0
"H233",1,1,0,0,1
"H234",1,1,0,0,1
"H235",1,1,0,0,1
"H236",1,1,0,1,1
"H237",1,1,0,0,0
"H238",1,1,0,0,0
"H239",1,1,0,1,1
"H240",1,0,0,1,0
"H241",1,1,0,0,1
"H242",1,1,0,1,1
"H243",1,0,0,1,0
"H244",1,1,0,0,0
"H245",1,0,0,0,0
"H246",1,0,0,0,1
"H247",1,1,0,0,1
"H248",1,1,0,0,0
"H249",1,0,0,0,0
"H250",1,1,0,0,1
"H251",1,1,0,0,1
"H252",1,1,0,0,1
"H253",1,1,0,0,1
"H254",1,1,0,0,1
"H255",1,1,0,0,1
"H256",1,1,0,0,1
"H257",1,1,0,1,1
"H258",1,1,0,0,1
"H259",1,1,0,0,0
"H260",1,1,0,0,1
"H261",1,1,0,0,1
"H262",1,1,0,0,1
"H263",1,1,0,0,0
"H264",1,1,0,0,1
"H265",1,1,0,0,1
"H266",1,1,0,0,1
"H267",1,1,0,0,1
"H268",1,1,0,0,1
"H269",1,1,0,0,0
"H270",1,1,0,0,1
"H271",1,1,0,0,0
"H272",1,1,0,0,1
"H273",1,1,0,0,1
"H274",1,1,0,0,0
"H275",1,1,0,0,1
"H276",1,1,0,0,1
"H277",1,1,0,1,1
"H278",1,1,0,0,1
"H279",1,1,0,0,1
"H280",1,0,0,1,0
"H281",1,0,0,1,0
"H282",1,0,0,0,1
"H283",1,1,0,1,0
"H284",1,0,0,0,0
"H285",1,1,0,0,0
"H286",1,0,0,0,1
"H287",1,0,0,1,0
"H288",1,1,0,1,0
"H289",1,1,0,1,1
"H290",1,0,0,1,0
"H291",1,0,0,1,0
"H292",1,0,1,0,1
"H293",1,1,0,1,0
"H294",1,1,0,0,1
"H295",1,1,0,0,1
"H296",1,1,0,0,1
"H297",1,0,0,1,0
"H298",1,1,0,0,0
"H299",1,1,0,0,1
"H300",1,1,0,0,1
"H301",1,0,0,0,1
"H302",1,0,0,0,1
"H303",1,0,0,0,0
"H304",1,1,0,0,1
"H305",1,0,0,0,1
"H306",1,0,0,1,0
"H307",1,0,0,1,1
"H308",1,0,0,0,1
"H309",1,1,0,0,1
"H310",1,1,0,0,1
"H311",1,1,0,1,0
"H312",1,0,0,1,0
"H313",1,0,0,1,1
"H314",1,0,0,0,0
"H315",1,0,0,0,0
"H316",1,1,1,0,1
"H317",1,0,0,1,0
"H318",1,0,0,1,1
"H319",1,0,0,1,1
"H320",1,0,0,0,0
"H321",1,0,0,0,0
"H322",1,0,0,0,0
"H323",1,0,0,1,1
