"streetID","burglary","totalhouses","distance","connectivity","choice_q","integ_q","business_q","socioeconomic_q"
"S1",27,90,277.938,3,3,1,5,2
"S2",14,67,384.077,6,3,2,4,3
"S3",2,57,382.129,4,3,2,4,2
"S4",14,33,138.704,4,3,1,1,3
"S5",15,42,241.3,5,3,1,5,1
"S6",17,48,138.071,1,1,1,5,1
"S7",4,34,170.708,10,3,1,4,1
"S8",1,30,139.797,5,3,1,5,1
"S9",10,27,142.727,4,2,1,5,1
"S10",23,67,148.824,2,2,1,5,1
"S11",7,39,368.371,16,4,2,5,2
"S12",5,22,119.796,6,3,1,1,2
"S13",22,41,202.301,2,1,1,4,2
"S14",10,38,164.726,2,1,1,4,2
"S15",23,45,116.402,5,2,1,5,4
"S16",10,56,116.746,3,2,1,5,1
"S17",4,34,370.885,15,4,2,5,4
"S18",17,45,128.149,2,2,1,1,1
"S19",14,63,127.618,2,2,1,4,3
"S20",14,44,127.388,2,2,1,1,4
"S21",13,42,130.861,6,2,1,1,3
"S22",2,42,132.504,4,2,1,1,4
"S23",7,58,132.803,2,2,1,1,3
"S24",7,52,120.853,2,2,1,1,4
"S25",3,38,233.165,5,3,1,1,5
"S26",1,46,230.517,6,3,1,4,1
"S27",5,35,228.443,5,3,1,4,3
"S28",13,56,268.33,8,3,2,1,1
"S29",15,44,255.234,8,4,2,1,1
"S30",1,41,371.744,19,4,2,5,4
"S31",12,41,111.781,3,3,1,1,1
"S32",11,27,87.215,4,2,1,1,1
"S33",12,51,196.691,8,4,2,5,2
"S34",4,38,388.177,12,4,3,4,3
"S35",7,24,61.83,1,1,2,1,4
"S36",7,43,178.635,5,3,2,1,4
"S37",2,30,98.821,1,1,1,1,4
"S38",12,44,392.865,11,4,2,4,4
"S39",2,22,37.848,1,1,1,1,2
"S40",19,39,147.396,3,2,1,1,4
"S41",7,96,479.495,5,3,2,1,4
"S42",4,29,146.405,3,2,1,1,4
"S43",8,36,125.346,7,4,2,4,1
"S44",12,64,333.511,4,3,1,3,1
"S45",22,65,164.556,5,3,1,5,4
"S46",0,36,336.986,14,4,2,5,1
"S47",8,19,76.556,3,3,1,1,1
"S48",19,40,44.227,1,1,1,1,1
"S49",2,21,144.655,1,1,1,1,4
"S50",4,50,355.95,3,1,4,1,5
"S51",11,47,687.401,8,4,4,4,5
"S52",10,46,380.814,2,3,3,1,5
"S53",12,39,104.187,1,1,2,1,5
"S54",21,72,418.621,5,4,4,5,5
"S55",30,68,600.514,4,3,3,5,5
"S56",0,37,423.595,6,4,3,5,5
"S57",14,50,366.62,2,2,2,4,5
"S58",37,94,876.478,6,4,4,4,5
"S59",2,26,264.991,2,1,3,1,5
"S60",9,73,224.612,1,1,2,1,5
"S61",4,53,701.069,4,3,4,4,5
"S62",12,64,178.335,4,3,4,5,4
"S63",14,24,124.986,1,1,2,1,2
"S64",0,41,675.978,9,4,3,5,5
"S65",2,29,263.607,5,4,4,1,5
"S66",10,27,265.61,3,3,3,1,5
"S67",2,41,439.238,4,2,2,1,2
"S68",0,74,391.354,2,1,2,1,5
"S69",43,82,350.998,4,4,3,1,5
"S70",1,14,92.669,1,1,3,1,5
"S71",3,31,124.375,1,1,1,1,2
"S72",9,25,94.788,3,1,1,1,5
"S73",17,41,156.504,5,3,2,1,5
"S74",2,30,243.298,5,2,2,1,5
"S75",3,69,459.981,5,4,3,1,4
"S76",14,63,404.746,4,3,3,1,5
"S77",5,58,889.818,10,4,4,4,5
"S78",66,104,606.391,15,4,4,4,5
"S79",6,37,505.346,12,4,3,5,2
"S80",8,36,103.803,6,3,1,1,3
"S81",1,28,79.881,5,2,1,1,5
"S82",27,49,67.275,2,2,1,5,3
"S83",21,81,120.677,8,3,1,1,2
"S84",11,43,201.277,13,4,1,5,4
"S85",1,49,344.306,17,4,2,1,3
"S86",0,14,50.931,2,2,1,1,1
